ID#	1
Name	Methane
	Data Filename	Sample Type	Level#	Ret. Time	Area	Height	Conc.	Std. Conc.	Area%	Height%	Accuracy[%]	Cal. Point
49	A-1923_1042023_1732_048.gcd	Unknown	0	3.205	317927	31158	43.335	-----	6.764	8.638	-----	-----
50	200$200$0_1042023_1732_049.gcd	Unknown	0	3.205	1405068	139371	191.518	-----	36.075	42.567	-----	-----
51	0$0$0.5_1042023_1732_050.gcd	Unknown	0	3.205	32437	3106	4.421	-----	3.060	3.870	-----	-----
52	A-1924_1042023_1732_051.gcd	Unknown	0	3.204	621941	61151	84.774	-----	23.753	28.882	-----	-----
53	A-1925_1042023_1732_052.gcd	Unknown	0	3.208	738135	72762	100.612	-----	31.077	37.072	-----	-----
54	A-1926_1042023_1732_053.gcd	Unknown	0	3.206	695943	68535	94.861	-----	27.753	33.388	-----	-----
55	A-1895_1042023_1732_054.gcd	Unknown	0	3.204	3560377	352920	485.298	-----	68.520	74.033	-----	-----
56	A-1896_1042023_1732_055.gcd	Unknown	0	3.203	90643776	8702391	12355.229	-----	97.701	98.186	-----	-----
57	A-1685_1042023_1732_056.gcd	Unknown	0	3.204	7842373	771084	1068.957	-----	73.731	78.515	-----	-----
58	A-1817_1042023_1732_057.gcd	Unknown	0	3.206	2598930	256265	354.248	-----	17.710	22.215	-----	-----
59	A-1684_1042023_1732_058.gcd	Unknown	0	3.206	2306657	228972	314.410	-----	15.338	19.457	-----	-----
60	A-1720_1042023_1732_059.gcd	Unknown	0	3.205	1280946	127040	174.600	-----	9.721	12.540	-----	-----
61	A-1927_1042023_1732_060.gcd	Unknown	0	3.205	10936432	1072608	1490.694	-----	42.355	49.202	-----	-----
62	A-1697_1042023_1732_061.gcd	Unknown	0	3.207	1842945	181257	251.203	-----	10.788	13.856	-----	-----
63	A-1699_1042023_1732_062.gcd	Unknown	0	3.206	1490471	146697	203.159	-----	9.299	11.994	-----	-----
64	A-1717_1042023_1732_063.gcd	Unknown	0	3.206	1929420	190568	262.990	-----	18.395	22.966	-----	-----
65	A-1709_1042023_1732_064.gcd	Unknown	0	3.207	2461016	243358	335.450	-----	22.895	28.195	-----	-----
66	A-1928_1042023_1732_065.gcd	Unknown	0	3.206	5578265	549807	760.347	-----	38.162	44.854	-----	-----
67	A-1929_1042023_1732_066.gcd	Unknown	0	3.206	892338	88452	121.630	-----	8.293	10.717	-----	-----
68	A-1930_1042023_1732_067.gcd	Unknown	0	3.205	3984793	395476	543.149	-----	29.762	35.978	-----	-----
69	A-1931_1042023_1732_068.gcd	Unknown	0	3.206	509739	50384	69.480	-----	4.774	6.226	-----	-----
70	A-1679_1042023_1732_069.gcd	Unknown	0	3.206	1355741	134142	184.795	-----	23.886	29.233	-----	-----
71	A-1700_1042023_1732_070.gcd	Unknown	0	3.205	3393033	335335	462.488	-----	44.246	51.030	-----	-----
72	A-1763_1042023_1732_071.gcd	Unknown	0	3.206	1413630	140529	192.685	-----	24.965	30.496	-----	-----
73	A-1764_1042023_1732_072.gcd	Unknown	0	3.207	4141022	408531	564.443	-----	46.446	53.223	-----	-----
74	200$200$0_1042023_1732_073.gcd	Unknown	0	3.205	1294875	128588	176.498	-----	38.343	44.959	-----	-----
75	0$0$0.5_1042023_1732_074.gcd	Unknown	0	3.204	19525	1843	2.661	-----	1.645	2.050	-----	-----
76	A-1932_1042023_1732_075.gcd	Unknown	0	3.206	7067021	694460	963.273	-----	59.923	66.109	-----	-----
77	A-1695_1042023_1732_076.gcd	Unknown	0	3.204	8310774	814591	1132.803	-----	63.732	69.603	-----	-----
78	A-1716_1042023_1732_077.gcd	Unknown	0	3.205	2582288	255339	351.980	-----	28.063	33.971	-----	-----
79	A-1935_1042023_1732_078.gcd	Unknown	0	3.208	11298045	1099252	1539.984	-----	62.764	68.659	-----	-----
80	A-1828_1042023_1732_079.gcd	Unknown	0	3.205	14974484	1461083	2041.102	-----	68.727	74.090	-----	-----
81	A-1714_1042023_1732_080.gcd	Unknown	0	3.206	3884331	382511	529.455	-----	33.924	40.322	-----	-----
82	A-1934_1042023_1732_081.gcd	Unknown	0	3.204	7253207	720484	988.651	-----	45.739	52.726	-----	-----
83	A-1692_1042023_1732_082.gcd	Unknown	0	3.205	2642172	262227	360.142	-----	26.331	32.128	-----	-----
84	A-1933_1042023_1732_083.gcd	Unknown	0	3.206	7393901	724466	1007.828	-----	63.852	69.693	-----	-----
85	A-1711_1042023_1732_084.gcd	Unknown	0	3.207	3934196	389084	536.252	-----	48.611	55.381	-----	-----
86	A-1693_1042023_1732_085.gcd	Unknown	0	3.206	3420184	337314	466.189	-----	45.591	52.331	-----	-----
