ID#	1
Name	Nitrous Oxide
	Data Filename	Sample Type	Level#	Ret. Time	Area	Height	Conc.	Std. Conc.	Area%	Height%	Accuracy[%]	Cal. Point
47	MT 9$14 6 T1_10182022_1223_047.gcd	Unknown	0	6.438	21736	1767	0.000	-----	100.000	100.000	-----	-----
48	MT 9$14 6 T2_10182022_1223_048.gcd	Unknown	0	6.435	22194	1798	0.000	-----	100.000	100.000	-----	-----
49	200$200$0_10182022_1223_049.gcd	Unknown	0	6.432	6527	533	0.000	-----	100.000	100.000	-----	-----
50	0$0$0.5_10182022_1223_050.gcd	Unknown	0	6.434	22692	1850	0.000	-----	100.000	100.000	-----	-----
51	MT 9$14 7 T1_10182022_1223_051.gcd	Unknown	0	6.436	15712	1292	0.000	-----	100.000	100.000	-----	-----
52	MT 9$14 7 T2_10182022_1223_052.gcd	Unknown	0	6.436	15831	1287	0.000	-----	100.000	100.000	-----	-----
53	MT 9$14 8 T1_10182022_1223_053.gcd	Unknown	0	6.435	14651	1191	0.000	-----	100.000	100.000	-----	-----
54	MT 9$14 8 T2_10182022_1223_054.gcd	Unknown	0	6.435	15270	1246	0.000	-----	100.000	100.000	-----	-----
55	MT 9$14 9 T1_10182022_1223_055.gcd	Unknown	0	6.438	16520	1337	0.000	-----	100.000	100.000	-----	-----
56	MT 9$14 9 T2_10182022_1223_056.gcd	Unknown	0	6.438	16104	1311	0.000	-----	100.000	100.000	-----	-----
57	MT 9$14 10 T1_10182022_1223_057.gcd	Unknown	0	6.436	16196	1337	0.000	-----	100.000	100.000	-----	-----
58	MT 9$14 10 T2_10182022_1223_058.gcd	Unknown	0	6.437	16223	1338	0.000	-----	100.000	100.000	-----	-----
59	MT 9$14 11 T1_10182022_1223_059.gcd	Unknown	0	6.438	20539	1661	0.000	-----	100.000	100.000	-----	-----
60	MT 9$14 11 T2_10182022_1223_060.gcd	Unknown	0	6.436	20984	1701	0.000	-----	100.000	100.000	-----	-----
61	MT 9$14 12 T1_10182022_1223_061.gcd	Unknown	0	6.435	16004	1311	0.000	-----	100.000	100.000	-----	-----
62	MT 9$14 12 T2_10182022_1223_062.gcd	Unknown	0	6.435	15919	1318	0.000	-----	100.000	100.000	-----	-----
63	MT 9$14 13 T1_10182022_1223_063.gcd	Unknown	0	6.435	16248	1329	0.000	-----	100.000	100.000	-----	-----
64	MT 9$14 13 T2_10182022_1223_064.gcd	Unknown	0	6.435	15878	1308	0.000	-----	100.000	100.000	-----	-----
65	MT 9$14 14 T1_10182022_1223_065.gcd	Unknown	0	6.439	15573	1269	0.000	-----	100.000	100.000	-----	-----
66	MT 9$14 14 T2_10182022_1223_066.gcd	Unknown	0	6.439	15647	1287	0.000	-----	100.000	100.000	-----	-----
67	MT 9$14 15 T1_10182022_1223_067.gcd	Unknown	0	6.438	16387	1328	0.000	-----	100.000	100.000	-----	-----
68	MT 9$14 15 T2_10182022_1223_068.gcd	Unknown	0	6.436	16192	1324	0.000	-----	100.000	100.000	-----	-----
69	MT 9$28 AIR1_10182022_1223_069.gcd	Unknown	0	6.437	16895	1380	0.000	-----	100.000	100.000	-----	-----
70	MT 9$28 AIR2_10182022_1223_070.gcd	Unknown	0	6.434	16701	1361	0.000	-----	100.000	100.000	-----	-----
71	MT 9$28 AIR3_10182022_1223_071.gcd	Unknown	0	6.436	17108	1391	0.000	-----	100.000	100.000	-----	-----
72	MT 9$28 1 T1_10182022_1223_072.gcd	Unknown	0	6.439	17321	1421	0.000	-----	100.000	100.000	-----	-----
73	200$200$0_10182022_1223_073.gcd	Unknown	0	6.438	6513	544	0.000	-----	100.000	100.000	-----	-----
74	0$0$0.5_10182022_1223_074.gcd	Unknown	0	6.437	23217	1878	0.000	-----	100.000	100.000	-----	-----
75	MT 9$28 1 T2_10182022_1223_075.gcd	Unknown	0	6.436	16985	1382	0.000	-----	100.000	100.000	-----	-----
76	MT 9$28 2 T1_10182022_1223_076.gcd	Unknown	0	6.437	16377	1324	0.000	-----	100.000	100.000	-----	-----
77	MT 9$28 2 T2_10182022_1223_077.gcd	Unknown	0	6.434	16967	1376	0.000	-----	100.000	100.000	-----	-----
78	MT 9$28 3 T1_10182022_1223_078.gcd	Unknown	0	6.436	15703	1270	0.000	-----	100.000	100.000	-----	-----
79	MT 9$28 3 T2_10182022_1223_079.gcd	Unknown	0	6.435	15152	1238	0.000	-----	100.000	100.000	-----	-----
80	MT 9$28 4 T1_10182022_1223_080.gcd	Unknown	0	6.436	24868	2017	0.000	-----	100.000	100.000	-----	-----
81	MT 9$28 4 T2_10182022_1223_081.gcd	Unknown	0	6.438	25292	2030	0.000	-----	100.000	100.000	-----	-----
82	MT 9$28 5 T1_10182022_1223_082.gcd	Unknown	0	6.437	16722	1359	0.000	-----	100.000	100.000	-----	-----
83	MT 9$28 5 T2_10182022_1223_083.gcd	Unknown	0	6.435	17100	1381	0.000	-----	100.000	100.000	-----	-----
84	MT 9$28 6 T1_10182022_1223_084.gcd	Unknown	0	6.436	20588	1671	0.000	-----	100.000	100.000	-----	-----
85	MT 9$28 6 T2_10182022_1223_085.gcd	Unknown	0	6.436	20523	1670	0.000	-----	100.000	100.000	-----	-----
86	MT 9$28 7 T1_10182022_1223_086.gcd	Unknown	0	6.433	15960	1298	0.000	-----	100.000	100.000	-----	-----
87	MT 9$28 7 T2_10182022_1223_087.gcd	Unknown	0	6.440	16047	1292	0.000	-----	100.000	100.000	-----	-----
88	MT 9$28 8 T1_10182022_1223_088.gcd	Unknown	0	6.437	14364	1171	0.000	-----	100.000	100.000	-----	-----
89	MT 9$28 8 T2_10182022_1223_089.gcd	Unknown	0	6.434	14481	1187	0.000	-----	100.000	100.000	-----	-----
90	MT 9$28 9 T1_10182022_1223_090.gcd	Unknown	0	6.433	15136	1234	0.000	-----	100.000	100.000	-----	-----
91	MT 9$28 9 T2_10182022_1223_091.gcd	Unknown	0	6.438	14905	1231	0.000	-----	100.000	100.000	-----	-----
92	MT 9$28 10 T1_10182022_1223_092.gcd	Unknown	0	6.433	15080	1244	0.000	-----	100.000	100.000	-----	-----
93	MT 9$28 10 T2_10182022_1223_093.gcd	Unknown	0	6.436	15682	1279	0.000	-----	100.000	100.000	-----	-----
94	MT 9$28 11 T1_10182022_1223_094.gcd	Unknown	0	6.437	19757	1581	0.000	-----	100.000	100.000	-----	-----
95	MT 9$28 11 T2_10182022_1223_095.gcd	Unknown	0	6.438	19427	1571	0.000	-----	100.000	100.000	-----	-----
96	MT 9$28 12 T1_10182022_1223_096.gcd	Unknown	0	6.437	15478	1255	0.000	-----	100.000	100.000	-----	-----
97	200$200$0_10182022_1223_097.gcd	Unknown	0	6.432	6927	571	0.000	-----	100.000	100.000	-----	-----
98	0$0$0.5_10182022_1223_098.gcd	Unknown	0	6.436	22698	1836	0.000	-----	100.000	100.000	-----	-----
99	MT 9$28 12 T2_10182022_1223_099.gcd	Unknown	0	6.439	15357	1249	0.000	-----	100.000	100.000	-----	-----
100	MT 9$28 13 T1_10182022_1223_100.gcd	Unknown	0	6.434	17242	1398	0.000	-----	100.000	100.000	-----	-----
101	MT 9$28 13 T2_10182022_1223_101.gcd	Unknown	0	6.437	16109	1331	0.000	-----	100.000	100.000	-----	-----
102	MT 9$28 14 T1_10182022_1223_102.gcd	Unknown	0	6.438	16354	1333	0.000	-----	100.000	100.000	-----	-----
103	MT 9$28 14 T2_10182022_1223_103.gcd	Unknown	0	6.437	16268	1311	0.000	-----	100.000	100.000	-----	-----
104	MT 9$28 15 T1_10182022_1223_104.gcd	Unknown	0	6.438	15552	1258	0.000	-----	100.000	100.000	-----	-----
105	MT 9$28 15 T2_10182022_1223_105.gcd	Unknown	0	6.435	15577	1261	0.000	-----	100.000	100.000	-----	-----
	Average			6.437	15860	1292	0.000		100.000	100.000	0.0	
	%RSD			0.036670	27.479449	27.086275	0.000000		0.000000	0.000000	0.000000	
	Maximum			6.449	25292	2030	0.000		100.000	100.000	0.0	
	Minimum			6.431	5051	411	0.000		100.000	100.000	0.0	
	Std. Dev.			0.002360	4358.325317	349.976911	0.000000		0.000000	0.000000	0.000000	

