ID#	1											
Name	Methane											
	Data Filename	Sample Type	Level#	Ret. Time	Area	Height	Conc.	Std. Conc.	Area%	Height%	Accuracy[%]	Cal. Point
51	0$0$0.5_7272023_1212_050.gcd	Unknown	0	3.203	7585	700	1.034	-----	1.169	1.445	-----	-----
52	A-1336_7272023_1212_051.gcd	Unknown	0	3.201	1984135	195936	270.448	-----	58.971	65.39	-----	-----
53	A-1347_7272023_1212_052.gcd	Unknown	0	3.2	1181440	116647	161.037	-----	15.884	20.007	-----	-----
54	A-1326_7272023_1212_053.gcd	Unknown	0	3.201	1481245	146935	201.902	-----	19.195	23.982	-----	-----
55	A-1325_7272023_1212_054.gcd	Unknown	0	3.201	1446187	142796	197.123	-----	18.88	23.578	-----	-----
56	A-1339_7272023_1212_055.gcd	Unknown	0	3.201	2016493	200549	274.859	-----	23.797	29.367	-----	-----
57	A-1330_7272023_1212_056.gcd	Unknown	0	3.201	2163612	214366	294.912	-----	25.51	31.265	-----	-----
58	A-1331_7272023_1212_057.gcd	Unknown	0	3.204	1936571	190675	263.965	-----	23.867	29.339	-----	-----
59	A-1341_7272023_1212_058.gcd	Unknown	0	3.201	753827	74102	102.751	-----	36.825	43.339	-----	-----
60	A-1340_7272023_1212_059.gcd	Unknown	0	3.201	967121	95143	131.824	-----	40.208	46.88	-----	-----
61	A-1323_7272023_1212_060.gcd	Unknown	0	3.2	758158	74583	103.341	-----	38.539	45.148	-----	-----
62	A-1332_7272023_1212_061.gcd	Unknown	0	3.2	781870	77178	106.573	-----	39.312	46.039	-----	-----
63	A-1329_7272023_1212_062.gcd	Unknown	0	3.201	611219	59767	83.312	-----	33.863	40.098	-----	-----
64	A-1364_7272023_1212_063.gcd	Unknown	0	3.201	797532	78706	108.708	-----	37.863	44.525	-----	-----
65	A-1328_7272023_1212_064.gcd	Unknown	0	3.201	795026	78671	108.366	-----	16.73	20.984	-----	-----
66	A-1378_7272023_1212_065.gcd	Unknown	0	3.199	815264	82084	111.125	-----	16.233	20.596	-----	-----
67	A-1362_7272023_1212_066.gcd	Unknown	0	3.2	863222	85150	117.662	-----	17.698	22.117	-----	-----
