pond,date,time,temp_c,do_perc,ph,orp,cond,turb,chla,nh4_mgl,no3_mgl,par,do_mgl,depth_m,notes
Boyce,10/9/2023,10:53:39,14.66,67.9,6.69,209.5,41.7,20.61,54.36,0.2,0,,7,0.25,
Boyce,10/9/2023,10:54:31,14.66,66.9,6.68,208.6,41.7,20.03,74.32,0.2,0,,6.9,0.5,
Boyce,10/9/2023,10:55:57,14.64,66.2,6.59,213.7,41.7,20.22,50.01,0.2,0,,6.83,0.75,
Boyce,10/9/2023,10:57:01,14.66,65.7,6.54,217,41.7,20.36,56.95,0.2,0,,6.78,1,
Boyce,10/9/2023,10:57:57,14.62,65.4,6.51,220,41.7,21.05,58.39,0.2,0,,6.76,1.25,
Boyce,10/9/2023,10:59:11,14.6,65.2,6.51,222.3,41.8,20.76,47.08,0.2,0,,6.74,1.5,
Boyce,10/9/2023,11:00:27,14.54,65.3,6.5,224.6,41.8,21.27,53.65,0.2,0,,6.75,1.75,
Boyce,10/9/2023,11:01:17,14.48,65.2,6.5,225.8,41.6,20.57,58.09,0.2,0,,6.75,2,
Boyce,10/9/2023,11:02:07,14.47,64.9,6.51,226.4,41.7,20.89,59.16,0.2,0,,6.73,2.25,
Boyce,10/9/2023,11:03:07,14.47,64,6.51,224,41.8,21.04,66.56,0.2,0,,6.64,2.35,bottom
Edwards,10/10/2023,13:05:09,15.37,98.7,7.7,173.2,461.9,68.25,17.16,0.4,0.3,,10.02,0,
Edwards,10/10/2023,13:06:11,15.39,96.1,7.73,173.8,462.2,69.52,21.11,0.3,0.3,,9.75,0.25,
Edwards,10/10/2023,13:08:08,15.4,95.1,7.74,175.9,462.3,76.67,22.65,0.3,0.3,,9.64,0.5,
Edwards,10/10/2023,13:09:48,15.37,94.6,7.74,177.1,462,79.09,22.59,0.3,0.4,,9.6,0.75,
Edwards,10/10/2023,13:10:16,15.37,94.3,7.73,178.1,461.9,79.02,19.92,0.3,0.3,,9.58,1,
Edwards,10/10/2023,13:10:42,15.36,94.2,7.74,178,461.9,78.65,20.71,0.3,0.4,,9.57,1.25,
Edwards,10/10/2023,13:11:12,15.35,94.3,7.75,178.2,461.8,77.7,21.07,0.2,0.4,,9.58,1.5,
Edwards,10/10/2023,13:11:48,15.33,94.3,7.75,178.3,461.9,77.6,20.66,0.2,0.4,,9.58,1.75,
Edwards,10/10/2023,13:12:24,15.32,94.3,7.75,178.6,461.8,77.77,22.12,0.2,0.4,,9.58,2,
Edwards,10/10/2023,13:12:58,15.31,94.1,7.75,179,461.9,77.78,24.32,0.2,0.4,,9.57,2.25,
Edwards,10/10/2023,13:13:44,15.31,93.9,7.76,179.6,461.8,77.94,20.78,0.2,0.4,,9.55,2.5,
Edwards,10/10/2023,13:14:30,15.3,93.7,7.76,180.1,461.7,78.13,18.66,0.2,0.4,,9.53,2.75,
Edwards,10/10/2023,13:14:56,15.3,93.6,7.76,180.5,461.9,77.95,21.17,0.2,0.4,,9.52,3,
Edwards,10/10/2023,13:15:32,15.3,93.6,7.76,181,461.8,77.98,22.94,0.2,0.4,,9.52,3.25,
Edwards,10/10/2023,13:16:02,15.31,93.6,7.75,179.8,461.8,78.48,46.61,0.2,0.4,,9.51,3.5,
Edwards,10/10/2023,13:16:28,15.33,93.5,7.7,149.8,462,108,192.16,0.3,0.4,,9.5,3.6,bottom
Harrison,10/12/2023,10:59:43,14.11,87.8,7.92,143.2,179.5,1724,6.66,0.1,0.2,0,9.17,0.25,
Harrison,10/12/2023,11:00:21,14.07,87.3,7.92,144.2,179.5,1728,7.69,0.1,0.2,-0.8,9.13,0.5,
Harrison,10/12/2023,11:00:51,14.03,87.1,7.91,145.4,179.4,1730,7.69,0.1,0.2,-3.3,9.11,0.75,
Harrison,10/12/2023,11:01:32,14.01,87,7.93,146.2,179.5,1732,8.01,0.1,0.2,-1.8,9.11,1,
Harrison,10/12/2023,11:02:16,14.01,87.1,7.94,146.5,179.4,1737,8.34,0.1,0.2,-2.8,9.11,1.25,
Harrison,10/12/2023,11:02:56,14.01,87.1,7.95,147,179.5,1743,8.95,0.1,0.2,-0.7,9.12,1.5,
Harrison,10/12/2023,11:03:26,13.98,87.1,7.97,147.1,179.4,1746,9.35,0.1,0.2,-3.8,9.12,1.75,
Harrison,10/12/2023,11:04:02,13.97,87.2,7.98,147.6,179.4,1748,10.88,0.1,0.2,0,9.13,2,
Harrison,10/12/2023,11:04:30,13.94,87.3,7.99,147.8,179.5,1749,10.98,0.1,0.3,-2.7,9.15,2.25,
Harrison,10/12/2023,11:05:00,13.9,87.4,8.01,148,179.4,1750,9.45,0.1,0.3,0,9.16,2.5,
Harrison,10/12/2023,11:05:34,13.85,87.5,8.06,148.1,179.4,1751,14.08,0.1,0.3,-0.8,9.19,2.75,
Harrison,10/12/2023,11:06:06,13.79,87.7,8.06,148.4,179.5,1753,17.95,0.1,0.3,0.9,9.22,2.8,bottom
Howarth,10/10/2023,10:46:27,14.44,13.6,7.39,200.9,728.7,91.19,8.63,1.9,0.3,,1.41,0.25,
Howarth,10/10/2023,10:46:57,14.42,13.4,7.38,201.2,728.6,91.36,8.43,2,0.3,,1.39,0.5,
Howarth,10/10/2023,10:51:00,14.38,12.5,7.38,199.7,728.7,106.1,10.75,2,0.3,,1.3,0.75,
