pond,date,time,temp_c,do_perc,ph,orp,cond,turb,chla,nh4_mgl,no3_mgl,par,do_mgl,depth_m,notes
Howarth,10/10/2023,10:51:24,14.36,12.5,7.38,199.6,728.6,106.1,11.78,2,0.3,,1.3,1,
Howarth,10/10/2023,10:51:54,14.34,12.5,7.39,199.3,728.5,106.3,12.8,2,0.3,,1.3,1.25,
Howarth,10/10/2023,10:52:22,14.32,12.6,7.39,199.1,728.4,106.5,13.31,2,0.3,,1.31,1.5,
Howarth,10/10/2023,10:52:58,14.3,13.1,7.4,198.4,728.2,106.4,10.15,2,0.3,,1.36,1.75,
Howarth,10/10/2023,10:53:40,14.3,13.5,7.41,197.6,728.1,106.4,8.9,1.9,0.3,,1.41,2,
Howarth,10/10/2023,10:54:08,14.3,13.6,7.41,197.1,728.1,106.6,17.21,1.9,0.3,,1.42,2.1,bottom
Levine,10/12/2023,13:36:09,14.16,83.3,7.86,124.6,313.3,92.82,26.02,0.3,0.1,2431.1,,0.25,
Levine,10/12/2023,13:37:19,14.06,82.6,7.86,128.2,312.8,93.15,15.63,0.3,0.1,1227.9,,0.5,
Levine,10/12/2023,13:37:55,13.88,82.4,7.83,131.8,313.5,93.12,18.93,0.3,0.1,987.4,,0.75,
Levine,10/12/2023,13:38:19,13.77,82.3,7.82,133.7,313.5,93.37,21.44,0.3,0.1,707.6,,1,
Levine,10/12/2023,13:38:45,13.66,82,7.82,135.3,313,93.72,29.43,0.3,0.1,448,,1.25,
Levine,10/12/2023,13:39:13,13.58,82,7.83,136.3,313,93.94,38.12,0.3,0.1,320.6,,1.5,
Levine,10/12/2023,13:39:43,13.51,81.9,7.81,138.1,312.8,93.96,37.42,0.3,0.1,199.9,,1.75,
Levine,10/12/2023,13:40:13,13.5,81.8,7.81,139.4,312.9,94.06,41.37,0.3,0.1,147.5,,2,
Levine,10/12/2023,13:40:41,13.47,81.6,7.8,140.8,312.9,94.22,40.06,0.3,0.1,83.8,,2.25,
Levine,10/12/2023,13:41:05,13.47,81.3,7.82,140.8,312.9,94.32,39.78,0.3,0.1,50,,2.5,
Levine,10/12/2023,13:41:31,13.47,80.9,7.82,141,312.9,94.34,64.01,0.3,0.1,40.8,,2.6,bottom
Mt Pleasant SE,10/11/2023,13:03:58,12.33,88.5,7.68,175.4,100.3,20.65,15.43,0.1,0.2,482,9.61,0.25,
Mt Pleasant SE,10/11/2023,13:04:26,12.34,88.4,7.62,179,100.3,20.68,15.29,0.1,0.2,150.7,9.6,0.5,
Mt Pleasant SE,10/11/2023,13:04:56,12.33,88.4,7.64,178.4,100.3,20.64,16.39,0.1,0.2,162.9,9.6,0.5,
Mt Pleasant SE,10/11/2023,13:05:08,12.33,88.3,7.64,178.8,100.3,20.67,13.93,0.1,0.2,130,9.59,0.75,
Mt Pleasant SE,10/11/2023,13:05:26,12.33,88.3,7.61,180.9,100.3,20.69,15.11,0.1,0.2,109.2,9.6,1,
Mt Pleasant SE,10/11/2023,13:05:46,12.33,88.3,7.6,181.7,100.3,20.73,14.63,0.1,0.2,73.6,9.6,1.25,
Mt Pleasant SE,10/11/2023,13:06:04,12.34,88.4,7.6,181.9,100.2,20.62,14.72,0.1,0.2,57.7,9.61,1.5,
Mt Pleasant SE,10/11/2023,13:06:26,12.33,88.5,7.59,182.9,100.2,20.62,17.98,0.1,0.2,54.9,9.62,1.75,
Mt Pleasant SE,10/11/2023,13:06:40,12.34,88.6,7.61,182.5,100.2,20.61,16.64,0.1,0.2,49.1,9.63,2,
Mt Pleasant SE,10/11/2023,13:07:04,12.36,88.9,7.59,176.5,100.5,26.29,80.92,0.1,0.2,51.8,9.65,2.1,bottom
Shelterbelt,10/11/2023,10:59:48,12.44,66.1,7.06,201.5,482.8,18.23,23.57,1,0.2,943.4,7.15,0.25,
Shelterbelt,10/11/2023,11:00:18,12.44,58.6,7.01,201.6,482.9,18.75,25.3,1,0.2,322.5,6.34,0.5,
Shelterbelt,10/11/2023,11:00:40,12.42,55.3,6.96,203.1,482.8,18.97,28.61,1,0.2,208.9,5.99,0.75,
Shelterbelt,10/11/2023,11:01:08,12.35,52.6,6.93,203.3,482.7,19.18,26.57,1,0.2,117.8,5.71,1,
Shelterbelt,10/11/2023,11:02:02,12.33,49.1,6.88,204.8,482.6,19.54,27.4,1,0.2,76.1,5.33,1.25,
Shelterbelt,10/11/2023,11:02:22,12.3,48.5,6.85,206.1,483,20.39,24.23,1,0.2,75.4,5.27,1.5,
Shelterbelt,10/11/2023,11:02:46,12.3,48,6.84,206.5,482.9,19.55,23.48,1.1,0.2,63.2,5.22,1.75,
Shelterbelt,10/11/2023,11:03:04,12.27,47.9,6.84,206.5,481.2,19.41,20.42,1.1,0.2,50,5.21,2,
Shelterbelt,10/11/2023,11:03:34,12.28,48.5,6.84,205.7,481.7,39.65,35.59,1,0.2,46.2,5.27,2.2,bottom
White,10/9/2023,13:30:05,16.02,79.3,7.9,194.1,326.7,26.54,18.45,0.1,0.2,,7.94,0.25,
White,10/9/2023,13:31:21,15.99,75.4,7.91,194.5,326.6,27.87,21.23,0.1,0.2,,7.56,0.5,
White,10/9/2023,13:32:23,15.87,74.1,7.91,194.7,326.5,28,22.77,0.1,0.2,,7.44,0.75,
White,10/9/2023,13:33:32,15.69,72.1,7.89,195.7,326.5,28.49,41.25,0.1,0.2,,7.27,1,
White,10/9/2023,13:34:34,15.64,70,7.88,196.1,326.4,27.34,56.19,0.1,0.2,,7.07,1.25,
White,10/9/2023,13:35:16,15.63,69.2,7.88,196.4,326.4,28.47,56.84,0.1,0.2,,6.99,1.5,
White,10/9/2023,13:35:56,15.61,68.6,7.87,196.8,326.4,29.5,54.91,0.1,0.2,,6.93,1.75,
White,10/9/2023,13:36:54,15.6,67.1,7.87,196.8,326.4,28.56,50,0.1,0.2,,6.78,2,
White,10/9/2023,13:37:40,15.6,66.5,7.88,196.7,326.5,29.34,55.87,0.1,0.2,,6.72,2.25,
White,10/9/2023,13:39:02,15.59,66,7.87,197.4,326.4,29.76,57.09,0.1,0.2,,6.67,2.5,
White,10/9/2023,13:40:08,15.59,65.2,7.85,198.1,326.4,30.79,53.74,0.1,0.2,,6.59,2.75,
White,10/9/2023,13:40:52,15.6,64.4,7.79,125.1,326.9,64.15,58.74,0.1,0.2,,6.51,2.75,bottom
