pond,date,time,temp_c,do_perc,ph,orp,cond,turb,chla,nh4_mgl,no3_mgl,par,do_mgl,depth_m,notes
Boyce,9/11/2023,10:58:03,21.52,114.9,7.69,139.8,36,959.5,133.99,0.1,0,921.1,9.84,0.25,
Boyce,9/11/2023,10:58:37,21.45,117,7.56,142.4,36.1,959.3,128.51,0.1,0,607.6,10.03,0.5,
Boyce,9/11/2023,10:58:59,21.39,117.1,7.47,143,36.1,958,135.17,0.1,0,182.1,10.05,0.75,
Boyce,9/11/2023,10:59:23,21.39,115.2,7.4,143.3,36.1,956.8,134.32,0.1,0,90.7,9.89,1,
Boyce,9/11/2023,10:59:51,21.29,105.6,7.18,147.4,35.8,957,120.75,0.1,0,53.3,9.08,1.25,
Boyce,9/11/2023,11:02:32,20.54,34.1,6.22,-50.2,38.8,958.9,117.23,0.1,0,42.9,2.97,1.5,
Boyce,9/11/2023,11:04:12,19.39,10.9,6.13,-85.8,61.5,969.8,65.54,0.1,0,23,0.98,1.75,
Boyce,9/11/2023,11:05:02,18.54,4.8,6.19,-92.7,114,976.3,37.93,0.2,0,8.8,0.43,2,
Boyce,9/11/2023,11:05:36,17.94,2.7,6.25,-100.3,157.3,981.2,27.68,0.2,0,1.3,0.25,2.25,
Boyce,9/11/2023,11:05:54,17.51,2,6.26,-102.6,191.4,986.5,26.71,0.3,0,2.7,0.18,2.45,bottom
Edwards,9/12/2023,13:17:00,23.41,92.1,7.75,102.9,452.8,801.9,7.88,0.3,0.1,3172.7,,0.25,
Edwards,9/12/2023,13:18:10,23.18,90.8,7.68,108.5,451.5,802.8,10.7,0.3,0.1,1249.5,,0.5,
Edwards,9/12/2023,13:19:20,22.82,88.9,7.59,116.2,451.2,804.2,11.29,0.3,0.1,602.1,,0.75,
Edwards,9/12/2023,13:20:20,22.61,88.4,7.57,120.2,451.3,805.1,12.19,0.3,0.1,178.4,,1,
Edwards,9/12/2023,13:21:02,22.52,88.1,7.56,122.9,451.1,805.9,13.71,0.3,0.1,218.9,,1.25,
Edwards,9/12/2023,13:22:12,22.41,87.9,7.56,125.3,451,807.9,18.83,0.3,0.1,228.7,,1.5,
Edwards,9/12/2023,13:23:24,22.34,87.6,7.54,129,451,809.2,17.51,0.3,0.1,214.1,,1.75,
Edwards,9/12/2023,13:24:12,22.34,87.5,7.56,129.9,451.1,811.1,18.58,0.2,0.1,178.7,,2,
Edwards,9/12/2023,13:25:08,22.3,87.4,7.57,130.9,451,714.4,18.61,0.2,0.1,179.5,,2.25,
Edwards,9/12/2023,13:25:52,22.28,87.3,7.57,132,451.1,715.4,19.33,0.2,0.1,313.3,,2.5,
Edwards,9/12/2023,13:26:44,22.26,87.3,7.57,133.8,450.8,716.7,17.58,0.2,0.1,147.6,,2.75,
Edwards,9/12/2023,13:27:36,22.22,87.3,7.57,135.1,450.8,717.6,18.24,0.2,0.1,248.3,,3,
Edwards,9/12/2023,13:28:30,22.2,87.2,7.57,136.5,450.6,718.6,15.84,0.2,0.1,167.2,,3.25,
Edwards,9/12/2023,13:29:49,22.21,85.9,7.42,-5,451.1,725,23.63,0.3,0.1,30.6,,3.5,
Edwards,9/12/2023,13:33:23,22.11,56.2,6.97,-105.1,473.8,748.2,98.97,2.2,0,136.3,,3.65,bottom
Howarth,9/12/2023,10:51:05,21.7,38.2,7.34,117,714.9,1136,23.29,0.8,0.1,3228.6,,0.25,
Howarth,9/12/2023,10:52:13,21.69,33.1,7.34,118.8,713.6,1139,25.43,0.8,0.1,1179.1,,0.5,
Howarth,9/12/2023,10:53:20,21.46,30.2,7.32,121.6,713.6,1142,32.73,0.8,0.1,180.2,,0.75,
Howarth,9/12/2023,10:54:00,21.45,28.6,7.3,123.1,713.7,1145,40.98,0.9,0.1,603,,1,
Howarth,9/12/2023,10:54:46,21.38,26.9,7.29,124.2,714.2,1148,39.32,0.9,0.1,379.7,,1.25,
Howarth,9/12/2023,10:55:56,21.36,25.4,7.29,125.2,714,1149,33.47,0.9,0.1,117.7,,1.5,
Howarth,9/12/2023,10:56:56,21.35,24.5,7.3,125.3,714.2,1151,32.87,0.8,0.1,235.3,,1.75,
Howarth,9/12/2023,10:57:36,21.34,24.2,7.31,125.4,714.2,1151,33.92,0.8,0.1,184.2,,2,
Howarth,9/12/2023,10:58:32,21.2,24.6,7.16,120.9,725.2,1151,70.09,0.8,0.1,76.7,,2.25,bottom
Harrison,9/14/2023,10:56:29,21.55,96.1,8.28,143.1,180.8,53.66,10.4,0.1,0.1,666.4,8.22,0.25,
Harrison,9/14/2023,10:58:36,21.58,94.9,8.32,145.4,180.4,52.65,9.45,0.1,0.1,312.6,8.12,0.5,
Harrison,9/14/2023,10:59:32,21.56,95.9,8.3,146.8,180.8,52.29,11.59,0.1,0.1,242.6,8.2,0.75,
Harrison,9/14/2023,11:00:30,21.52,95.6,8.27,147.9,180.9,52.13,12.26,0.1,0,203.9,8.18,1,
Harrison,9/14/2023,11:01:16,21.51,95.4,8.27,148.3,180.8,52.02,10.75,0.1,0,153.5,8.16,1.25,
Harrison,9/14/2023,11:02:22,21.51,94.2,8.25,148.9,181.1,51.82,11.01,0.1,0,138.3,8.07,1.5,
Harrison,9/14/2023,11:03:16,21.51,94,8.22,150.1,181.3,51.74,12.13,0.1,0,137.1,8.04,1.75,
Harrison,9/14/2023,11:03:52,21.5,93.9,8.28,148.8,181,51.75,12.81,0.1,0.1,244.1,8.04,2,
Harrison,9/14/2023,11:04:42,21.49,94,8.24,150.4,181.3,51.56,9.22,0.1,0.1,145.5,8.05,2.25,
Harrison,9/14/2023,11:05:30,21.48,93.8,8.22,151.1,181.1,51.6,8.99,0.1,0,127,8.03,2.5,
Harrison,9/14/2023,11:06:20,21.44,93.9,8.39,149.7,180.4,51.65,11.44,0.1,0.1,21.3,8.05,2.75,
Harrison,9/14/2023,11:08:10,21.42,94.8,8.19,153.4,182.2,51.48,21.57,0.1,0,67.8,8.13,3,bottom
Levine,9/14/2023,13:48:44,21.54,73.4,7.65,150.8,310.6,22.05,10.91,0.2,0,4368.3,6.28,0.25,
Levine,9/14/2023,13:49:48,21.57,73.3,7.65,153.2,310.4,22.09,11.8,0.2,0,2122.1,6.27,0.5,
Levine,9/14/2023,13:50:46,21.43,72.7,7.65,155,310.4,22.36,17.23,0.2,0,947,6.23,0.75,
Levine,9/14/2023,13:56:39,21.3,72.2,7.63,165.6,310.4,24.24,16.71,0.2,0,517.4,6.2,1,
Levine,9/14/2023,13:57:23,21.25,71.9,7.61,167.9,310.4,24.15,17.42,0.2,0,314.8,6.19,1.25,
Levine,9/14/2023,13:58:05,21.14,70.5,7.6,169,310.4,23.92,20.86,0.2,0,127.4,6.07,1.5,
Levine,9/14/2023,13:59:03,21.05,69,7.59,170.2,310.3,24.07,20.43,0.2,0,106.6,5.95,1.75,
Levine,9/14/2023,13:59:45,21.01,68,7.58,170.8,310.2,24.28,18.17,0.2,0,42.8,5.88,2,
Levine,9/14/2023,14:00:17,21,67.4,7.59,170.9,310.1,24.19,22.06,0.2,0,30.9,5.82,2.25,
Levine,9/14/2023,14:00:53,20.99,66.7,7.6,170.7,309.9,24.29,21.6,0.2,0,25.2,5.77,2.5,
Levine,9/14/2023,14:01:41,20.99,65.5,7.6,152.9,309.9,26.05,17.97,0.2,0,13.8,5.66,2.6,bottom
Mt Pleasant SE,9/13/2023,12:36:29,21.92,97.4,8.03,123.1,96.6,718.5,15.72,0,0.1,2358.8,8.27,0.25,
Mt Pleasant SE,9/13/2023,12:37:05,21.94,97.6,7.89,127.8,96.6,722.8,17.21,0,0,1081.3,8.29,0.5,
Mt Pleasant SE,9/13/2023,12:37:23,21.94,97.9,7.82,130.8,96.6,725.3,16.37,0,0,402.7,8.31,0.75,
Mt Pleasant SE,9/13/2023,12:37:41,21.94,98.1,7.77,133.7,96.6,725.6,17.48,0,0,779.2,8.33,1,
Mt Pleasant SE,9/13/2023,12:38:03,21.93,98.4,7.74,136,96.6,724.7,16.95,0,0,259.1,8.35,1.25,
Mt Pleasant SE,9/13/2023,12:38:47,21.22,92.1,7.52,142.6,97.8,724.2,48.9,0,0,372.3,7.93,1.5,
Mt Pleasant SE,9/13/2023,12:39:37,20.95,82.9,7.26,147.9,101.7,724.5,63.14,0,0,109.3,7.18,1.75,
Mt Pleasant SE,9/13/2023,12:41:41,20.81,51.1,6.9,-35.1,106.1,763.9,66.48,0.1,0,85.1,4.44,2,
Mt Pleasant SE,9/13/2023,12:43:25,20.68,36.4,6.72,-68.8,119.6,928.7,55.03,0.3,0,72.6,3.17,2.25,bottom
Shelterbelt,9/13/2023,10:43:49,20.71,90.3,7.5,151.3,451.3,749.1,24.46,0.9,0.2,1099.6,7.85,0.25,
Shelterbelt,9/13/2023,10:44:15,20.67,86.3,7.23,154.2,454.7,816.3,24.57,0.9,0.2,454.3,7.5,0.5,
Shelterbelt,9/13/2023,10:46:05,20.47,54.7,6.83,162.5,465.1,733.8,29.51,0.9,0.1,178,4.77,0.75,
Shelterbelt,9/13/2023,10:46:59,20.37,45.9,6.79,164.4,465.3,733.2,27.75,0.9,0.1,150.5,4.02,1,
Shelterbelt,9/13/2023,10:47:35,20.18,43.1,6.76,165.4,463.3,732.9,19.49,0.9,0.1,110,3.79,1.25,
Shelterbelt,9/13/2023,10:48:27,19.85,34.9,6.66,168.1,470.1,733.2,24.99,0.8,0.1,70.2,3.08,1.5,
Shelterbelt,9/13/2023,10:49:19,19.52,26.6,6.48,154.6,482.7,735.2,500.97,0.9,0.1,61.8,2.37,1.75,
Shelterbelt,9/13/2023,10:50:01,19.09,15.4,6.43,-54.2,550,728.3,407.05,1,0.1,36.1,1.38,2,
Shelterbelt,9/13/2023,10:50:39,18.16,10.2,6.36,-92.5,720.1,737.3,205.16,3.1,0.2,3.7,0.93,2.25,bottom
White,9/11/2023,14:00:15,23.21,96.7,8,129.2,327.2,1159,28.67,0.1,0,1755,8.01,0.25,
White,9/11/2023,14:01:09,23.07,92.1,8,130.5,327,1199,43.29,0.1,0,754.5,7.65,0.5,
White,9/11/2023,14:01:37,22.99,91.3,7.98,131.8,327,1201,42.35,0.1,0,263.1,7.59,0.75,
White,9/11/2023,14:02:37,22.9,89.4,7.96,133.6,327.2,1203,55.83,0.1,0,273.4,7.45,1,
White,9/11/2023,14:03:03,22.85,88.3,7.93,134.7,327.6,1204,67.88,0.1,0,174.2,7.37,1.25,
White,9/11/2023,14:03:39,22.75,84,7.88,136.3,328.7,1204,108.86,0.1,0,111.4,7.02,1.5,
White,9/11/2023,14:04:05,22.34,78.7,7.68,139.9,336.3,1204,154.73,0,0,67.7,6.62,1.75,
White,9/11/2023,14:06:33,21.26,12.7,7.36,57.9,350.1,1199,70.23,0.1,0,37.3,1.09,2,
White,9/11/2023,14:07:09,20.85,7.1,7.29,11.7,363.4,1196,55.09,0.4,0,15.3,0.61,2.25,
White,9/11/2023,14:07:39,20.42,4,7.15,-99.7,392.5,1191,45.94,1.3,0,3.9,0.35,2.5,
White,9/11/2023,14:08:13,19.72,2.3,6.87,-115.4,506.2,1161,48.92,8,0,-5.7,0.2,2.75,
