pond,date,time,temp_c,do_perc,ph,orp,cond,turb,chla,nh4_mgl,no3_mgl,par,do_mgl,depth_m,notes
Boyce,6/20/2023,11:51:19,21.15,103.7,7.71,162.2,31.4,3.37,26.19,0,0.1,2050,8.94,0.25,
Boyce,6/20/2023,11:52:03,21.11,108.8,7.61,165.9,31.4,3.22,29.88,0,0,908.4,9.39,0.5,
Boyce,6/20/2023,11:52:28,20.97,111.5,7.47,172,31.4,3.42,33.74,0,0.1,556.3,9.65,0.75,
Boyce,6/20/2023,11:52:50,20.72,112.9,7.46,173.6,31.3,3.44,36.86,0,0.1,382.2,9.81,1,
Boyce,6/20/2023,11:53:08,20.06,113.6,7.52,176.6,31.2,4.45,40.66,0,0.1,264.6,10.01,1.25,
Boyce,6/20/2023,11:53:34,19.57,115,7.5,178.2,31.4,4.69,58.16,0,0.1,154.8,10.23,1.5,
Boyce,6/20/2023,11:54:04,18.78,106.5,6.88,191.7,32.4,4.27,61.99,0,0.1,143.5,9.63,1.75,
Boyce,6/20/2023,11:55:22,18.38,60.6,6.07,102.1,34.8,5.69,45,0,0.1,131,5.53,2,
Boyce,6/20/2023,11:56:28,17.78,29.5,6.05,13.4,44.5,10.81,44.78,0,0.2,71.8,2.72,2.25,
Boyce,6/20/2023,11:56:50,17.69,23.7,6.1,5.1,50.7,15.79,58.51,0,0.2,51.9,2.19,2.3,bottom
Edwards,6/21/2023,14:32:10,24.24,111.4,8.07,68.1,445.7,0.28,4.53,0.3,0,4135,9.04,0,
Edwards,6/21/2023,14:32:28,24.01,112.5,8.02,71.8,445.4,0.38,4.18,0.3,0,1910.7,9.17,0.25,
Edwards,6/21/2023,14:32:48,23.85,111.9,8.05,71.4,444.7,0.38,4.64,0.3,0,1053.3,9.15,0.5,
Edwards,6/21/2023,14:33:06,23.29,111.2,8.04,73.5,444.2,0.34,5.06,0.3,0,91.6,9.19,0.75,
Edwards,6/21/2023,14:33:36,22.96,110.4,7.99,76.1,443.8,0.28,5.41,0.3,0,229.3,9.19,1,
Edwards,6/21/2023,14:33:54,22.8,110,8,77.1,443.8,0.43,5.48,0.3,0,921.9,9.18,1.25,
Edwards,6/21/2023,14:34:24,22.58,109.5,8,78.4,443.3,0.28,5.86,0.3,0,563.4,9.18,1.5,
