pond,date,time,temp_c,do_perc,ph,orp,cond,turb,chla,nh4_mgl,no3_mgl,par,do_mgl,depth_m,notes
Boyce,5/22/2023,12:37:20,18.76,109.6,7.56,172,30.2,1.39,12.11,0.1,0,2008.8,,0.25,
Boyce,5/22/2023,12:38:00,18.7,109.5,7.52,175,30.2,1.99,13.09,0.1,0,1091.6,,0.5,
Boyce,5/22/2023,12:38:36,18.2,107.9,7.38,180.7,30.2,1.81,14.77,0.1,0,667.2,,0.75,
Boyce,5/22/2023,12:39:14,17.8,106.7,7.25,189.7,30.3,1.88,14.86,0.1,0,928.1,,1,
Boyce,5/22/2023,12:40:00,17.6,106.4,7.25,190.8,30.2,1.89,19.52,0.1,0,755.9,,1.25,
Boyce,5/22/2023,12:40:52,17.27,107.3,7.25,195.1,30.2,1.84,23.42,0.1,0,245.1,,1.5,
Boyce,5/22/2023,12:42:06,16.99,111.1,7.31,197.1,30.3,2.17,29.24,0.1,0,150.3,,1.75,
Boyce,5/22/2023,12:43:00,16.84,112.1,7.23,202,30.5,2.21,32.31,0.1,0,147.8,,2,
Boyce,5/22/2023,12:43:48,16.4,108.6,6.98,209,32.4,4.01,34.91,0.1,0,124.3,,2.25,
Boyce,5/22/2023,12:44:20,16.44,105,6.93,208.8,32.8,16.55,110.79,0.1,0,111.1,,2.35,bottom
Edwards,5/23/2023,16:29:53,21.39,112.8,8.88,121.6,435.5,0.82,20.65,0.5,0.1,942.4,,0.25,
Edwards,5/23/2023,16:30:49,20.83,121.8,8.87,120.6,433,0.92,19.25,0.4,0,327.3,,0.5,
Edwards,5/23/2023,16:31:23,20.19,125.2,8.85,120.9,433.9,0.97,20.62,0.4,0,288.6,,0.75,
Edwards,5/23/2023,16:31:49,19.48,125.8,8.81,123.4,433.4,1.08,18.84,0.4,0,218.1,,1,
Edwards,5/23/2023,16:32:19,19.17,126.6,8.8,124.5,433.4,1,20.39,0.4,0,166,,1.25,
Edwards,5/23/2023,16:32:55,19.04,128,8.84,124.4,432.2,0.93,21.6,0.4,0,140.3,,1.5,
Edwards,5/23/2023,16:33:21,18.88,128.7,8.82,124.1,432.3,0.96,21.57,0.4,0,106.7,,1.75,
Edwards,5/23/2023,16:34:45,18.76,127,8.82,124.1,431.2,0.97,22.35,0.4,0,82.5,,2,
Edwards,5/23/2023,16:35:23,18.61,126.3,8.82,124,431,0.97,25.37,0.4,0,72.2,,2.25,
Edwards,5/23/2023,16:35:47,18.5,125.9,8.86,123.7,430.1,1.13,29.55,0.4,0,61.8,,2.5,
Edwards,5/23/2023,16:36:17,18.33,126.2,8.92,123,428.7,1.3,32.49,0.4,0,49,,2.75,
Edwards,5/23/2023,16:36:47,18.24,126.7,8.94,122.9,427.3,1.16,34.35,0.4,0,41.4,,3,
Edwards,5/23/2023,16:37:21,18.04,127.6,8.91,123.5,428,1.28,40.16,0.4,0,35.9,,3.25,
Edwards,5/23/2023,16:37:53,17.81,126.6,8.8,124.9,429.6,1.52,42.9,0.4,0,27.8,,3.5,
Edwards,5/23/2023,16:38:40,17.39,117.1,8.45,98.8,434.7,48.37,23.54,0.4,0,21.7,,3.65,bottom
Harrison,5/25/2023,11:33:13,17.66,104.8,8.18,160.5,223.1,0.34,9.78,0.2,0,2933.9,,0.25,
Harrison,5/25/2023,11:34:05,17.54,105,8.19,159.7,223,0.68,8.76,0.2,0,1845.6,,0.5,
Harrison,5/25/2023,11:34:45,17.46,105.1,8.14,162.4,223.1,0.45,6.95,0.2,0,1510.5,,0.75,
Harrison,5/25/2023,11:35:21,17.43,105,8.13,162.4,223.1,0.48,9.49,0.2,0,1331.9,,1,
Harrison,5/25/2023,11:35:57,17.42,105,8.15,161.2,223,1.16,9.95,0.2,0,1182.5,,1.25,
Harrison,5/25/2023,11:36:17,17.39,104.9,8.15,160.5,223,0.4,7.69,0.2,0,994.1,,1.5,
Harrison,5/25/2023,11:36:47,17.34,104.7,8.13,160,223,0.46,10.79,0.2,0,914.9,,1.75,
Harrison,5/25/2023,11:37:11,17.31,104.4,8.13,159.8,223,0.32,12.44,0.2,0,781.9,,2,
Harrison,5/25/2023,11:37:51,17.29,104,8.13,159.7,223,0.67,9.75,0.2,0,643.1,,2.25,
Harrison,5/25/2023,11:38:21,17.29,103.7,8.12,159.6,223,0.38,11.06,0.2,0,617.7,,2.5,
Harrison,5/25/2023,11:38:45,17.27,103.4,8.1,159.7,223,0.56,11.95,0.2,0,507.4,,2.75,
Harrison,5/25/2023,11:39:11,17.24,103.1,8.09,159.8,223.1,0.49,11.08,0.2,0,453.4,,3,
Harrison,5/25/2023,11:39:45,17.24,102.6,8.07,159.8,223,0.38,13.44,0.2,0,432.3,,3.25,
Harrison,5/25/2023,11:40:47,17.25,101.1,8.02,145.6,222.9,3.56,21.12,0.2,0,402.4,,3.4,bottom
Howarth,5/23/2023,12:20:54,19.1,136.8,8.44,170.8,548.2,0.81,14.27,0.6,0.1,3343.6,,0.25,
Howarth,5/23/2023,12:22:16,18.61,144,8.41,172.4,547.9,1.32,20.14,0.5,0.1,1394.7,,0.5,
Howarth,5/23/2023,12:23:06,18.34,149.9,8.38,174.1,548,1.41,24.05,0.5,0.1,1105,,0.75,
Howarth,5/23/2023,12:23:46,18.47,152.7,8.34,174.3,545.3,1.59,24,0.5,0.1,805,,1,
Howarth,5/23/2023,12:24:28,18.13,154.8,8.23,175.8,548.2,0.99,18.25,0.5,0.1,622.4,,1.25,
Howarth,5/23/2023,12:24:58,18.06,155.1,8.14,177.2,549.3,1.11,16.33,0.5,0.1,268.7,,1.5,
Howarth,5/23/2023,12:25:38,17.9,154.7,8,179,552.7,0.83,8.36,0.5,0.1,228.2,,1.75,
Howarth,5/23/2023,12:26:18,17.25,137.8,7.64,183.9,629.4,7.16,7.64,0.5,0.1,286.8,,2,
Howarth,5/23/2023,12:26:50,16.13,118.4,7.48,-68.7,691.3,6.48,14.64,0.4,0,249.2,,2.25,
Howarth,5/23/2023,12:27:56,15.62,63.4,7.4,-137.4,723.6,5.23,31.53,0.4,0.4,198,,2.3,bottom
Levine,5/25/2023,15:24:37,19.4,66.9,7.96,152.3,332.6,1.42,4.65,0.3,0,3401.4,,0.25,
Levine,5/25/2023,15:25:43,18.46,63.2,7.94,153.2,331.7,1.58,6.98,0.3,0,1780.7,,0.5,
Levine,5/25/2023,15:26:13,18.07,61.3,7.92,154.5,331,1.56,10.7,0.4,0,1211.9,,0.75,
Levine,5/25/2023,15:27:13,17.98,57.8,7.89,156.5,331.1,1.64,6.6,0.4,0,753.1,,1,
Levine,5/25/2023,15:28:01,17.73,56.6,7.87,158.1,331.1,1.79,5.48,0.4,0,696.1,,1.25,
Levine,5/25/2023,15:28:29,17.42,55.3,7.87,158.2,330.6,1.73,6.09,0.4,0,562.6,,1.5,
Levine,5/25/2023,15:29:09,17.34,54,7.87,158.3,330.3,1.85,6.17,0.4,0,357.5,,1.75,
Levine,5/25/2023,15:29:49,17.22,53.3,7.88,158.1,330.2,1.9,7.41,0.4,0,151.8,,2,
Levine,5/25/2023,15:30:45,17.11,51.8,7.87,158.5,330.6,2.51,12.91,0.3,0,231.3,,2.25,
Levine,5/25/2023,15:31:29,17.06,50,7.86,44.8,331,3.34,9.92,0.3,0,128.7,,2.5,
Levine,5/25/2023,15:32:01,17.07,49,7.84,49.7,330.7,3.28,13.31,0.3,0,79.4,,2.6,bottom
Mt Pleasant SE,5/24/2023,14:01:53,20.06,97.3,8.1,121.3,119.1,1.28,12.17,0.2,0,2261.8,,0.25,
Mt Pleasant SE,5/24/2023,14:02:33,20.07,97.7,8.01,124,119.2,1.44,13.41,0.2,0,967.2,,0.5,
Mt Pleasant SE,5/24/2023,14:02:49,20.05,98.4,7.97,126.2,119.1,1.19,15.31,0.2,0,844.2,,0.75,
Mt Pleasant SE,5/24/2023,14:03:09,20.03,98.8,7.95,128.4,119.1,1.4,13.77,0.2,0,780.4,,1,
Mt Pleasant SE,5/24/2023,14:03:25,20.01,98.9,7.91,131,119.1,1.58,14.65,0.2,0,464.5,,1.25,
Mt Pleasant SE,5/24/2023,14:03:45,18.93,96.9,7.89,132.7,119.3,1.39,21.12,0.2,0,299.9,,1.5,
Mt Pleasant SE,5/24/2023,14:04:07,18.66,97,7.86,134.9,118.9,1.59,29.44,0.2,0,376.3,,1.75,
Mt Pleasant SE,5/24/2023,14:04:27,18.13,96.4,7.71,135.4,120.7,3.24,34.08,0.2,0,250.9,,2,
Mt Pleasant SE,5/24/2023,14:04:47,17.87,88.1,7.57,72.6,123.7,9.22,63.42,0.2,0,217.7,,2.25,bottom
Shelterbelt,5/24/2023,10:54:44,17.99,76.2,7.3,152.8,429.9,1.05,29.12,1,0.1,1543.6,,0.25,
Shelterbelt,5/24/2023,10:55:24,17.85,68.6,7.18,156.1,430.1,0.99,27.78,0.9,0.1,894.2,,0.5,
Shelterbelt,5/24/2023,10:55:45,17.66,64.2,7.13,157.1,431.3,0.98,27.88,1,0.1,201,,0.75,
Shelterbelt,5/24/2023,10:56:15,17.43,58.3,7.03,160.6,433,0.95,36.21,1,0,96.2,,1,
Shelterbelt,5/24/2023,10:56:39,17.28,55.1,6.99,162.2,434.6,1.09,35.58,1.1,0,163.5,,1.25,
Shelterbelt,5/24/2023,10:57:11,16.14,50.9,6.98,152,428,1.21,29.94,1.2,0,75.2,,1.5,
Shelterbelt,5/24/2023,10:58:03,15.04,27.1,6.93,101,432,2.42,38.49,1.7,0.1,61.6,,1.75,
Shelterbelt,5/24/2023,10:58:47,14.11,12.3,6.94,43.6,447.7,2.45,65.7,2.4,0.1,38.6,,2,
Shelterbelt,5/24/2023,10:59:17,13.17,7.7,6.97,-72.6,581.5,16.61,158.39,9.1,0.1,21.3,,2.2,bottom
White,5/22/2023,16:50:12,21.95,127,8.34,155.8,431.9,4.65,13.56,0.1,0,2331.2,,0.25,
White,5/22/2023,16:51:26,21.11,126.7,8.31,157.7,431.4,4.71,23.56,0.1,0,674.5,,0.5,
White,5/22/2023,16:53:00,19.88,130.8,8.36,158.6,429.4,5.21,27.04,0.1,0,400.2,,0.5,
White,5/22/2023,16:53:38,19.42,130.9,8.36,158.8,429,5.32,28.29,0.1,0,325.4,,1,
White,5/22/2023,16:54:26,19.09,130.9,8.38,159.5,427.9,5.5,30.26,0.1,0,301,,1.25,
White,5/22/2023,16:54:54,18.85,131.1,8.36,159.7,428.1,5.3,32.55,0.1,0,254.5,,1.5,
White,5/22/2023,16:55:32,18.56,130.9,8.34,160.2,428.1,4.86,35,0.1,0,253.4,,1.75,
White,5/22/2023,16:56:08,18.32,129.6,8.32,160.9,428.9,3.89,41.51,0.1,0,197.1,,2,
White,5/22/2023,16:56:46,18.01,125.8,8.23,162.5,430.1,4.18,60,0.1,0,155.3,,2.25,
White,5/22/2023,16:57:24,17.74,118.7,8.08,164.6,430.3,4.94,71.13,0.1,0,116.7,,2.5,
White,5/22/2023,16:58:28,17.03,89.5,7.75,170.1,433.8,6.61,146.34,0.4,0,90.2,,2.75,
White,5/22/2023,16:59:22,16.83,58.9,7.67,173.1,435.2,10.38,236.98,0.6,0,65,,3,
White,5/22/2023,16:59:50,16.58,49.9,7.66,173.9,441.5,15.31,514.23,0.8,0,49.4,,3.12,bottom
